Date,Amount,Payee,Description,Reference,Account Code,Tax Type,Tax Amount,Gross Amount
/Date(1692,-256.48,,Bank Transfer to Wise AUD.,,,NONE,0.0,-256.48
/Date(1720,2426.2,,Bank Transfer from Wise AUD.,,,NONE,0.0,2426.2
/Date(1716,1194.02,,Bank Transfer from Wise AUD.,,,NONE,0.0,1194.02
/Date(1715,315.16,,Bank Transfer from Wise AUD.,,,NONE,0.0,315.16
/Date(1715,640.0,,Bank Transfer from Wise AUD.,,,NONE,0.0,640.0
/Date(1715,100.0,,Bank Transfer from Wise AUD.,,,NONE,0.0,100.0
/Date(1715,310.0,,Bank Transfer from Wise AUD.,,,NONE,0.0,310.0
/Date(1715,1648.28,,Bank Transfer from Wise AUD.,,,NONE,0.0,1648.28
/Date(1696,6941.12,,Bank Transfer from Wise AUD.,,,NONE,0.0,6941.12
/Date(1696,5946.23,,Bank Transfer from Wise AUD.,,,NONE,0.0,5946.23
/Date(1693,3696.14,,Bank Transfer from Wise AUD.,,,NONE,0.0,3696.14
/Date(1692,924.0,,Bank Transfer from Wise AUD.,,,NONE,0.0,924.0
/Date(1692,374.98,,Bank Transfer from Wise AUD.,,,NONE,0.0,374.98
/Date(1692,10657.76,,Bank Transfer from Wise AUD.,,,NONE,0.0,10657.76
/Date(1692,1551.76,,Bank Transfer from Wise AUD.,,,NONE,0.0,1551.76
/Date(1691,699.15,,Bank Transfer from Wise AUD.,,,NONE,0.0,699.15
/Date(1691,466.49,,Bank Transfer from Wise AUD.,,,NONE,0.0,466.49
/Date(1690,933.14,,Bank Transfer from Wise AUD.,,,NONE,0.0,933.14
/Date(1689,2345.16,,Bank Transfer from Wise AUD.,,,NONE,0.0,2345.16
/Date(1689,2237.88,,Bank Transfer from Wise AUD.,,,NONE,0.0,2237.88
/Date(1689,11931.47,,Bank Transfer from Wise AUD.,,,NONE,0.0,11931.47
/Date(1684,1127.5,,Bank Transfer from Wise AUD.,,,NONE,0.0,1127.5
