Date,Amount,Payee,Description,Reference,Account Code,Tax Type
22/05/2023,1127.50,,Bank Transfer from Wise AUD.,,,NONE
11/07/2023,11931.47,,Bank Transfer from Wise AUD.,,,NONE
15/07/2023,2237.88,,Bank Transfer from Wise AUD.,,,NONE
19/07/2023,2345.16,,Bank Transfer from Wise AUD.,,,NONE
02/08/2023,933.14,,Bank Transfer from Wise AUD.,,,NONE
04/08/2023,466.49,,Bank Transfer from Wise AUD.,,,NONE
06/08/2023,699.15,,Bank Transfer from Wise AUD.,,,NONE
22/08/2023,-256.48,,Bank Transfer to Wise AUD.,,,NONE
22/08/2023,374.98,,Bank Transfer from Wise AUD.,,,NONE
22/08/2023,10657.76,,Bank Transfer from Wise AUD.,,,NONE
22/08/2023,1551.76,,Bank Transfer from Wise AUD.,,,NONE
25/08/2023,924.00,,Bank Transfer from Wise AUD.,,,NONE
26/08/2023,3696.14,,Bank Transfer from Wise AUD.,,,NONE
04/10/2023,5946.23,,Bank Transfer from Wise AUD.,,,NONE
10/10/2023,6941.12,,Bank Transfer from Wise AUD.,,,NONE
09/05/2024,1648.28,,Bank Transfer from Wise AUD.,,,NONE
10/05/2024,640.00,,Bank Transfer from Wise AUD.,,,NONE
10/05/2024,100.00,,Bank Transfer from Wise AUD.,,,NONE
10/05/2024,310.00,,Bank Transfer from Wise AUD.,,,NONE
14/05/2024,315.16,,Bank Transfer from Wise AUD.,,,NONE
28/05/2024,1194.02,,Bank Transfer from Wise AUD.,,,NONE
09/07/2024,2426.20,,Bank Transfer from Wise AUD.,,,NONE
